Smiles,PIC50
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1ccc(C(C)(C)C)c(OC[C@H](O)[C@@H](O)CO)c1C(C)(C)C,4.769551079
Oc1cccc(Br)c1,4
CC(Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,6.958607315
Oc1c(Br)cc(Br)cc1Oc1c(O)c(Br)c(Br)c(Br)c1Br,6.102372909
O=C(N/C=C/c1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(Oc2c(Br)cc(C/C(=N\O)C(=O)NCCc3ccc(O)c(Br)c3)cc2Br)c1)=N/O,5.698970004
Clc1ccc2nc(-c3n[nH]c(Cl)c3Cl)oc2c1,7.468521083
CCOc1ccc(C(=O)Nc2ccccc2N2CCCC2)cc1Cl,4.301029996
O=C(O)c1ccccc1-c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,4.602059991
O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1ccc(OC(F)(F)F)cc1,8
CC1(C)CCC[C@]2(C)[C@H]3C=C4C=C(O)C(=O)C=C4O[C@@]3(C)CC[C@@H]12,6.119186408
CC1(C)CCC[C@]2(C)[C@H]3C=C4C(=CC(=O)C(O)=C4Cl)O[C@@]3(C)CC[C@@H]12,6.080921908
O=C(Nc1ccc(F)cn1)c1cc[nH]n1,6.259637311
CCC(=O)NC(c1cccs1)c1cc([N+](=O)[O-])c2cccnc2c1O,4.602059991
Oc1ccc(Cl)cc1-c1cc(-c2ccccc2Cl)[nH]n1,4.301029996
COc1ccc(C(=O)c2c[nH]nc2-c2cc(C)ccc2O)cc1,4.301029996
O=C(O)c1cc(C(=O)C(=O)c2cc(C(=O)O)c(O)c3ccccc23)c2ccccc2c1O,4.301029996
O=C1c2ccccc2C(=O)N1c1nc2cc([N+](=O)[O-])ccc2n1Cc1ccc(-c2ccccc2)cc1,5.991399828
CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](O)[C@H](C)CCC/C(C)=C/Cc1cc(O)ccc1O,6.301029996
CC(C)(c1ccc(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,5.301029996
COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4c(ccc5ccccc54)s3)cc2)c1O,4
CC(C)(Sc1cc(C(C)(C)C)c(OCC(=O)O)c(C(C)(C)C)c1)Sc1ccc(C(C)(C)C)c(OCC(=O)O)c1C(C)(C)C,3.903089987
Nc1[nH]c(C(=O)c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1C(=O)c1cccc(Cl)c1,4.879426069
CCNC(=O)c1[nH]c2cc(Cl)ccc2c1/C=C/C(=O)NCc1ccccc1OC,5.235823868
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=C/C(=O)NCCc1ccccc1Cl,5.88941029
CNC(=O)c1cc2ccc(Cl)cc2[nH]1,5.027797162
CC(=O)n1ccc(C(=O)Nc2ccc(Cl)c(Cl)c2)n1,6.534617149
O=C(Nc1ccc(F)cc1Cl)c1ccn(C(=O)Nc2ccc3c(c2)OCO3)n1,7.327902142
O=C(Nc1ccc(F)cc1Cl)c1ccn(C(=O)Nc2ccc3c(c2)OCO3)n1,6.962573502
O=C(Nc1ccc(O)c(O)c1)c1ccc(NCc2ccccc2O)cc1,5.995678626
O=C(CCc1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,5.838631998
CC(C)(C)c1ccc(CN2CCN(C(=O)CCc3cc(-c4ccc(F)cc4)n(-c4ccc(Cl)nn4)n3)CC2)cc1,5
CC1(C)CCC[C@]2(C)C3=CC4=CC(=O)C(=O)C=C4O[C@@]3(C)CC[C@@H]12,5.15490196
Oc1ccc(Br)cc1Oc1c(O)ccc(Br)c1Br,4.958607315
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)CNc1cccc([N+](=O)[O-])c1,5
Oc1ccc(CCCCc2ccc(Cl)cc2)cc1O,4.823908741
Cc1ccc(CCCCc2ccc(O)c(O)c2)cc1,4.665546249
CO[C@H]1C[C@]2(O)C(=O)C=C3O[C@@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C=C3[C@@H]2O1,4.229147988
CC1=C(CC/C(C)=C/CC/C(C)=C/Cc2cc(O)ccc2O)C(C)(C)CCC1,4.721246399
CCCc1ccc(/C=C2\S/C(=N/c3nnc(C)s3)NC2=O)cc1,5.507239611
COc1ccc(-c2nnc(/N=C3\NC(=O)CS3)s2)cc1,5.595166283
CC1(C)CCC[C@]2(C)[C@H]3C=C4C(=CC(=O)[C@@H]4O)O[C@@]3(C)CC[C@@H]12,3.823908741
OCc1ccc(Br)cc1,4
Oc1ccc(Br)cc1Br,4.468521083
CCOC(=O)C1CCN(C(=O)CCc2cc(-c3ccc(C)cc3)n(-c3ccccc3)n2)CC1,5
COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)ccc1O,6.602059991
CCc1ccc(CSc2nccn2-c2ccccc2)cc1,4.301029996
CC(C)NC(=O)c1cc2ccc(Cl)cc2[nH]1,5.007888512
COc1ccc(C2COc3c(ccc(O)c3O)C2)cc1,5.244125144
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1/C=N/NC(=O)COc1ccccc1Cl,6.638272164
COc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC)c(O)c2)cc1O,6.236572006
C[C@H](Cc1cc(O)c(O)cc1[N+](=O)[O-])[C@@H](C)Cc1cc(O)c(O)cc1[N+](=O)[O-],6.455931956
Nc1[nH]c(C(=O)c2ccccc2)c(-c2cccnc2)c1C(=O)c1cccc(Cl)c1,4
Cc1ccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,6.397940009
CCN([C@@H]1CCN(C(C)c2ccc(F)cc2)C1)S(=O)(=O)NCCc1c(-c2cccs2)n[nH]c1-c1cnccn1,7.292429824
COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4o3)cc2)c1O,4
CC(=O)NC(c1cccs1)c1cc(Br)c2cccnc2c1O,4.522878745
O=C(/C=C/c1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,5.832682665
CNc1nnc(-c2cccc3ccccc23)o1,5.26760624
CN(C)c1oc(-c2cccc3ccccc23)nc1C#N,4.522878745
CNc1oc(-c2ccc3c(c2)OCCO3)nc1C#N,4.397940009
CNc1oc(-c2ccc3cc[nH]c3c2)nc1C#N,4.397940009
